100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.783636		0.219798		0.222739
0.786061		0.219798		0.227679
0.788485		0.219798		0.232722
0.790909		0.219798		0.237870
0.793333		0.219798		0.243125
0.795758		0.219798		0.248488
0.798182		0.219798		0.253963
0.800606		0.219798		0.259550
0.803030		0.219798		0.265252
0.805455		0.219798		0.271071
0.807879		0.219798		0.277009
0.810303		0.219798		0.283068
0.812727		0.219798		0.289252
0.815152		0.219798		0.295561
0.817576		0.219798		0.301999
0.820000		0.219798		0.308567
0.580000		0.247273		0.031919
0.582424		0.247273		0.032710
0.584848		0.247273		0.033520
0.587273		0.247273		0.034348
0.589697		0.247273		0.035196
0.592121		0.247273		0.036063
0.594545		0.247273		0.036949
0.596970		0.247273		0.037856
0.599394		0.247273		0.038784
0.601818		0.247273		0.039732
0.604242		0.247273		0.040703
0.606667		0.247273		0.041695
0.609091		0.247273		0.042710
